,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
15~19,17,19,21,27,26,26,27,25,34,32,27,23,20,18,17,18,19,15,16,13,12,11,11,11,11
20~24,45,46,49,62,63,66,67,69,97,112,104,98,92,86,86,92,108,99,93,100,106,101,98,101,102
25~29,28,32,37,52,53,52,54,54,77,94,93,87,92,97,96,105,144,132,112,108,105,97,92,95,93
30~34,14,18,20,31,32,31,36,38,62,69,61,56,53,56,59,61,95,87,74,74,72,69,67,61,54
35~39,9,10,14,24,27,26,31,34,57,59,55,47,43,43,42,45,70,61,50,52,53,52,52,58,56
40~44,6,8,10,20,22,22,26,28,48,58,57,48,42,37,43,40,64,57,46,42,38,39,35,40,41
45~49,3,4,6,12,16,17,21,22,40,47,50,42,39,31,34,39,61,57,44,38,38,35,35,37,34
50~54,3,3,4,7,10,9,11,12,23,29,34,34,29,26,25,29,47,40,32,29,28,27,27,28,27
55~59,2,2,2,5,6,5,6,7,10,11,15,13,13,12,12,16,26,24,20,18,19,19,17,18,16
60~64,1,1,1,2,2,2,2,2,4,4,7,6,5,4,3,4,6,5,6,7,6,6,6,9,10
65UP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
